customer_id,country,first_purchase_date
12346,United Kingdom,2011-01-18 10:01:00
12347,Iceland,2010-12-07 14:57:00
12348,Finland,2010-12-16 19:09:00
12349,Italy,2011-11-21 09:51:00
12350,Norway,2011-02-02 16:01:00
12352,Norway,2011-02-16 12:33:00
12353,Bahrain,2011-05-19 17:47:00
12354,Spain,2011-04-21 13:11:00
12355,Bahrain,2011-05-09 13:49:00
12356,Portugal,2011-01-18 09:50:00
12357,Switzerland,2011-11-06 16:07:00
12358,Austria,2011-07-12 10:04:00
12359,Cyprus,2011-01-12 12:43:00
12360,Austria,2011-05-23 09:43:00
12361,Belgium,2011-02-25 13:51:00
12362,Belgium,2011-02-17 10:30:00
12363,Unspecified,2011-04-11 13:29:00
12364,Belgium,2011-08-19 15:24:00
12365,Cyprus,2011-02-21 13:51:00
12367,Denmark,2011-12-05 16:48:00
12370,Cyprus,2010-12-14 12:58:00
12371,Switzerland,2011-10-11 10:43:00
12372,Denmark,2011-02-16 12:46:00
12373,Austria,2011-02-01 13:10:00
12374,Austria,2011-11-14 15:37:00
12375,Finland,2011-09-02 14:23:00
12377,Switzerland,2010-12-20 09:37:00
12378,Switzerland,2011-08-02 10:34:00
12379,Belgium,2011-06-22 16:32:00
12380,Belgium,2011-06-07 09:49:00
12381,Norway,2011-08-12 09:57:00
12383,Belgium,2010-12-22 14:28:00
12384,Switzerland,2011-08-10 11:23:00
12386,Australia,2010-12-08 09:53:00
12388,Australia,2011-01-17 11:12:00
12390,Belgium,2011-09-21 09:33:00
12391,Cyprus,2011-11-18 12:07:00
12393,Australia,2011-01-11 09:47:00
12394,Belgium,2011-05-06 14:01:00
12395,Belgium,2010-12-03 16:35:00
12397,Belgium,2011-07-27 14:21:00
12398,Switzerland,2011-10-25 10:27:00
12399,Belgium,2011-03-23 09:42:00
12401,Belgium,2011-02-09 13:50:00
12402,Belgium,2011-01-20 13:49:00
12403,Denmark,2011-10-21 10:51:00
12405,Finland,2011-07-14 08:52:00
12406,Denmark,2011-06-09 10:23:00
12407,Belgium,2011-03-20 13:21:00
12408,Belgium,2011-03-24 14:46:00
