invoice_no,customer_id,invoice_date,country,total_amount
536365,17850,2010-12-01 08:26:00,United Kingdom,139.12
536366,17850,2010-12-01 08:28:00,United Kingdom,22.200000000000003
536367,13047,2010-12-01 08:34:00,United Kingdom,278.73
536368,13047,2010-12-01 08:34:00,United Kingdom,70.05000000000001
536369,13047,2010-12-01 08:35:00,United Kingdom,17.85
536370,12583,2010-12-01 08:45:00,France,855.86
536371,13748,2010-12-01 09:00:00,United Kingdom,204.0
536372,17850,2010-12-01 09:01:00,United Kingdom,22.200000000000003
536373,17850,2010-12-01 09:02:00,United Kingdom,259.86
536374,15100,2010-12-01 09:09:00,United Kingdom,350.4
536375,17850,2010-12-01 09:32:00,United Kingdom,259.86
536376,15291,2010-12-01 09:32:00,United Kingdom,328.8
536377,17850,2010-12-01 09:34:00,United Kingdom,22.200000000000003
536378,14688,2010-12-01 09:37:00,United Kingdom,444.98
536380,17809,2010-12-01 09:41:00,United Kingdom,34.8
536381,15311,2010-12-01 09:41:00,United Kingdom,449.9800000000001
536382,16098,2010-12-01 09:45:00,United Kingdom,430.59999999999997
536384,18074,2010-12-01 09:53:00,United Kingdom,489.6
536385,17420,2010-12-01 09:56:00,United Kingdom,130.85
536386,16029,2010-12-01 09:57:00,United Kingdom,508.20000000000005
536387,16029,2010-12-01 09:58:00,United Kingdom,3193.92
536388,16250,2010-12-01 09:59:00,United Kingdom,226.14
536389,12431,2010-12-01 10:03:00,Australia,358.25
536390,17511,2010-12-01 10:19:00,United Kingdom,1825.74
536392,13705,2010-12-01 10:29:00,United Kingdom,318.14000000000004
536393,13747,2010-12-01 10:37:00,United Kingdom,79.6
536394,13408,2010-12-01 10:39:00,United Kingdom,1024.6800000000003
536395,13767,2010-12-01 10:47:00,United Kingdom,507.88000000000005
536396,17850,2010-12-01 10:51:00,United Kingdom,376.36
536397,17924,2010-12-01 10:51:00,United Kingdom,279.0
536398,13448,2010-12-01 10:52:00,United Kingdom,426.56000000000006
536399,17850,2010-12-01 10:52:00,United Kingdom,22.200000000000003
536400,13448,2010-12-01 10:53:00,United Kingdom,17.4
536401,15862,2010-12-01 11:21:00,United Kingdom,354.22999999999996
536402,15513,2010-12-01 11:22:00,United Kingdom,357.0
536403,12791,2010-12-01 11:27:00,Netherlands,192.60000000000002
536404,16218,2010-12-01 11:29:00,United Kingdom,471.30000000000007
536405,14045,2010-12-01 11:32:00,United Kingdom,326.4
536406,17850,2010-12-01 11:33:00,United Kingdom,353.14
536407,17850,2010-12-01 11:34:00,United Kingdom,22.200000000000003
536408,14307,2010-12-01 11:41:00,United Kingdom,783.1099999999999
536409,17908,2010-12-01 11:45:00,United Kingdom,243.27999999999997
536412,17920,2010-12-01 11:49:00,United Kingdom,514.41
536415,12838,2010-12-01 11:57:00,United Kingdom,390.78999999999996
536416,13255,2010-12-01 11:58:00,United Kingdom,225.7
536420,16583,2010-12-01 12:03:00,United Kingdom,233.45000000000002
536423,18085,2010-12-01 12:08:00,United Kingdom,303.90000000000003
536425,13758,2010-12-01 12:08:00,United Kingdom,362.44999999999993
536437,13694,2010-12-01 12:12:00,United Kingdom,842.12
536446,15983,2010-12-01 12:15:00,United Kingdom,440.89
536460,14849,2010-12-01 12:22:00,United Kingdom,295.53999999999996
536463,14849,2010-12-01 12:22:00,United Kingdom,17.4
536464,17968,2010-12-01 12:23:00,United Kingdom,277.35
536466,14849,2010-12-01 12:23:00,United Kingdom,42.9
536477,16210,2010-12-01 12:27:00,United Kingdom,2474.7399999999993
536488,17897,2010-12-01 12:31:00,United Kingdom,165.88999999999996
