stock_code,product_name,category
10002,INFLATABLE POLITICAL GLOBE ,General Merchandise
10080,GROOVY CACTUS INFLATABLE,General Merchandise
10120,DOGGY RUBBER,General Merchandise
10123C,HEARTS WRAPPING TAPE ,Romantic & Gifts
10124A,SPOTS ON RED BOOKCOVER TAPE,General Merchandise
10124G,ARMY CAMO BOOKCOVER TAPE,General Merchandise
10125,MINI FUNKY DESIGN TAPES,General Merchandise
10133,COLOURING PENCILS BROWN TUBE,General Merchandise
10135,COLOURING PENCILS BROWN TUBE,General Merchandise
11001,ASSTD DESIGN RACING CAR PEN,General Merchandise
15030,FAN BLACK FRAME ,Home Decor
15034,PAPER POCKET TRAVELING FAN ,Party Supplies
15036,ASSORTED COLOURS SILK FAN,General Merchandise
15039,SANDALWOOD FAN,General Merchandise
15044A,PINK PAPER PARASOL ,Party Supplies
15044B,BLUE PAPER PARASOL ,Party Supplies
15044C,PURPLE PAPER PARASOL,Party Supplies
15044D,RED PAPER PARASOL,Party Supplies
15056BL,EDWARDIAN PARASOL BLACK,General Merchandise
15056N,EDWARDIAN PARASOL NATURAL,General Merchandise
15056P,EDWARDIAN PARASOL PINK,General Merchandise
15058A,BLUE POLKADOT GARDEN PARASOL,General Merchandise
15058B,PINK POLKADOT GARDEN PARASOL,General Merchandise
15058C,ICE CREAM DESIGN GARDEN PARASOL,General Merchandise
15060B,FAIRY CAKE DESIGN UMBRELLA,Kitchen & Storage
16008,SMALL FOLDING SCISSOR(POINTED EDGE),General Merchandise
16010,FOLDING CAMPING SCISSOR W/KNIF & S,General Merchandise
16011,ANIMAL STICKERS,General Merchandise
16012,FOOD/DRINK SPONGE STICKERS,General Merchandise
16014,SMALL CHINESE STYLE SCISSOR,General Merchandise
16015,MEDIUM CHINESE STYLE SCISSOR,General Merchandise
16016,LARGE CHINESE STYLE SCISSOR,General Merchandise
16020C,CLEAR STATIONERY BOX SET ,Sets & Collections
16033,MINI HIGHLIGHTER PENS,Lighting & Candles
16043,POP ART PUSH DOWN RUBBER ,General Merchandise
16045,POPART WOODEN PENCILS ASST,General Merchandise
16046,TEATIME PEN CASE & PENS,Bags & Cases
16048,TEATIME ROUND PENCIL SHARPENER ,General Merchandise
